tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;pdcch_cce_utilization_pct;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
4232;8;1;50;50,0;229,0;22900;22900;22900,0;11,25;18,88;2091586;3017,0;25;21;84,0;102,8;59,2;100,0;8;0;13,0762;12,5;7,4088;14,682;2,28;22900,0;22900,0;22900,0;0,0;4,0;15,0;11,0;4,0;1,51;34,68;10,93;100,0;0;0;2,29;2,29;2,29;0,0;32,58;57,88;0,0;0,0;0,125;57357343750000,0;7573463,13
4233;8;1;50;50,0;492,0;49200;49200;49200,0;11,12;18,85;2092666;1009,2;25;21;84,0;23,1;31,5;100,0;8;0;12,8943;12,5;9,1311;14,6507;2,04;49200,0;49200,0;49200,0;0,0;5,0;15,0;11,0;3,0;2,25;34,98;11,11;100,0;0;0;4,92;4,92;4,92;0,0;30,96;58,95;0,0;0,0;0,125;264757500000000,0;16271370,56
4234;8;1;50;50,0;429,0;42900;42900;42900,0;11,38;19,39;2093314;1118,8;25;21;84,0;22,0;22,6;100,0;8;0;13,3085;12,5;9,1494;14,8455;1,89;42900,0;42900,0;42900,0;0,0;5,0;15,0;11,0;3,0;2,03;34,99;11,19;100,0;0;0;4,29;4,29;4,29;0,0;30,11;57,71;0,0;0,0;0,125;201294843750000,0;14187841,41
4235;8;1;50;50,0;429,0;42900;42900;42900,0;11,5;19,79;2093125;1225,3;25;21;84,0;29,5;28,5;100,0;8;0;13,4956;12,5;9,1677;14,6428;1,78;42900,0;42900,0;42900,0;0,0;5,0;15,0;12,0;3,0;1,98;35,12;11,35;100,0;0;0;4,29;4,29;4,29;0,0;29,81;57,33;0,0;0,0;0,125;201294843750000,0;14187841,41
4236;8;1;50;50,0;492,0;49200;49200;49200,0;11,5;19,97;2090639;1737,0;25;21;84,0;35,2;33,2;100,0;8;0;13,4944;12,5;9,1861;14,6624;1,76;49200,0;49200,0;49200,0;0,0;5,0;15,0;12,0;3,0;1,96;35,63;11,6;100,0;0;0;4,92;4,92;4,92;0,0;29,81;58,11;0,0;0,0;0,125;264757500000000,0;16271370,56
4237;8;1;50;50,0;492,0;49200;49200;49200,0;11,62;20,59;2094738;1165,3;25;22;88,0;22,0;22,0;100,0;8;0;13,7497;12,5;10,8427;14,6191;1,38;49200,0;49200,0;49200,0;0,0;6,0;15,0;12,0;3,0;5,46;36,26;11,18;100,0;0;0;4,92;4,92;4,92;0,0;28,51;54,29;0,0;0,0;0,125;264757500000000,0;16271370,56
4238;8;1;50;50,0;229,0;22900;22900;22900,0;11,75;20,86;2094125;1999,7;25;19;76,0;49,1;41,9;100,0;8;0;14,2517;12,5;10,8644;17,1712;1,63;22900,0;22900,0;22900,0;0,0;8,0;15,0;12,0;3,0;8,2;37,0;10,96;100,0;0;0;2,29;2,29;2,29;0,0;24,72;52,54;0,0;0,0;0,125;57357343750000,0;7573463,13
4239;8;1;50;50,0;229,0;22900;22900;22900,0;11,62;20,71;2095809;1890,1;25;19;76,0;38,9;37,5;100,0;8;0;14,0507;12,5;10,8862;16,8979;1,74;22900,0;22900,0;22900,0;0,0;8,0;15,0;12,0;3,0;8,31;37,62;10,99;100,0;0;0;2,29;2,29;2,29;0,0;25,06;53,07;0,0;0,0;0,125;57357343750000,0;7573463,13
4240;8;1;50;50,0;229,0;22900;22900;22900,0;11,62;20,49;2095088;942,8;25;19;76,0;21,2;23,2;100,0;8;0;14,0416;12,5;10,908;16,6335;1,68;22900,0;22900,0;22900,0;0,0;8,0;15,0;12,0;3,0;8,15;38,02;11,18;100,0;0;0;2,29;2,29;2,29;0,0;25,06;54,57;0,0;0,0;0,125;57357343750000,0;7573463,13
4241;8;1;50;50,0;492,0;49200;49200;49200,0;11,38;20,25;2094101;808,0;25;19;76,0;20,5;21,3;100,0;8;0;13,5418;12,5;10,9298;14,6573;1,2;49200,0;49200,0;49200,0;0,0;7,0;15,0;11,0;3,0;6,83;38,48;11,62;100,0;0;0;4,92;4,92;4,92;0,0;28,47;57,38;0,0;0,0;0,125;264757500000000,0;16271370,56
4242;8;1;50;50,0;466,0;46600;46600;46600,0;11,0;19,65;2095998;1260,7;25;22;88,0;25,4;24,3;100,0;8;0;12,516;12,5;8,8142;14,6279;2,37;46600,0;46600,0;46600,0;0,0;5,0;15,0;11,0;4,0;2,32;38,74;12,47;100,0;0;0;4,66;4,66;4,66;0,0;34,32;63,44;0,0;0,0;0,125;237514375000000,0;15411501,39
4243;8;1;50;50,0;480,0;48000;48000;48000,0;11,12;19,51;2096233;959,3;25;22;88,0;19,6;27,4;100,0;8;0;12,567;12,5;8,8319;14,8648;2,4;48000,0;48000,0;48000,0;0,0;5,0;15,0;11,0;4,0;1,86;39,13;12,81;100,0;0;0;4,8;4,8;4,8;0,0;34,65;65,64;0,0;0,0;0,125;252000000000000,0;15874507,87
4244;8;1;50;50,0;492,0;49200;49200;49200,0;11,38;19,93;2095717;1518,9;25;20;80,0;23,8;24,6;100,0;8;0;13,105;12,5;9,0251;15,028;2,28;49200,0;49200,0;49200,0;0,0;7,0;15,0;11,0;4,0;6,74;39,28;12,4;100,0;0;0;4,92;4,92;4,92;0,0;32,28;62,2;0,0;0,0;0,125;264757500000000,0;16271370,56
4245;8;1;50;50,0;229,0;22900;22900;22900,0;11,38;20,15;2094984;979,8;25;20;80,0;20,7;22,7;100,0;8;0;13,1396;12,5;7,8513;16,5091;2,86;22900,0;22900,0;22900,0;0,0;7,0;15,0;11,0;4,0;6,72;39,2;12,1;100,0;0;0;2,29;2,29;2,29;0,0;31,98;60,04;0,0;0,0;0,125;57357343750000,0;7573463,13
